trial_number,value,long_entry_pct,short_entry_pct,min_edge_gap,max_hold_minutes,cooldown_minutes,min_hold_minutes,rearm_pct
125,0.004587972458500512,0.88395566534206,0.9596399540991352,0.1704302281541271,146,105,8,0.4002745250699436
126,0.005167505689054663,0.8967158880890516,0.9810044144545441,0.1851503086117919,153,102,6,0.40853467652418357
127,0.004542472819457216,0.916916369228481,0.97095988053818,0.19511289578108562,141,108,8,0.40767453790835306
128,0.004503817254033788,0.9101950179233967,0.9837734602871853,0.16403683355117665,202,98,4,0.4336059399669175
129,0.004373872359585058,0.8787459266510925,0.9758360227421157,0.18008196107881028,147,104,5,0.4232153481012755
130,0.005150611064453011,0.8872578340573861,0.9898234454613841,0.18773773934068455,131,99,11,0.4132450796640829
131,0.00625427783659413,0.9033584149287336,0.9898598313062188,0.20140633039901995,156,100,6,0.40061151614475254
132,0.00557372967530584,0.9008203821073615,0.9810615590111417,0.19870451216355905,154,103,6,0.4064160812154952
133,0.005756225090084421,0.9004845196164479,0.9803467658090601,0.21302221159240903,156,100,7,0.40117761283839326
134,0.004928837794003488,0.8985441668932569,0.9664619768682695,0.22302556515042563,155,104,7,0.4074793815321296
135,0.004856128697274634,0.8921250459385972,0.9821820878582835,0.21356946274748523,149,96,6,0.41364609341584535
136,0.004397984122778777,0.9019312985075265,0.9706983095517416,0.19814647659285697,156,100,8,0.425513853727661
137,0.004975047003957477,0.9132844305387229,0.9777531380666128,0.20886016897506182,138,106,5,0.4006486121043562
138,0.004013711331819629,0.9192558268864995,0.9614509613625997,0.25412219149117765,104,98,7,0.4079287716809227
139,0.0049333163179233345,0.9057795349437292,0.9805485129850723,0.19945753715995823,143,110,4,0.41805048463072714
140,0.0047921612094978736,0.9271852232554472,0.9899630369200052,0.21867295376251467,82,95,6,0.4128671241388656
141,0.005856188935172569,0.8938791483600474,0.9843266498733131,0.1879204604619678,162,101,7,0.4014156613991807
142,0.005007164814384952,0.8930324000587523,0.9736739446129778,0.18764123125935264,160,103,7,0.40431819229156035
143,0.005342609388453162,0.8996640716184309,0.9827631927365089,0.17589328461588316,39,99,9,0.4062142063088656
144,0.005101664322468769,0.8880741966794212,0.9774804499872815,0.20921342513349664,164,101,6,0.40061091355090434
145,0.004867265950165792,0.9115020195480044,0.9850863130686859,0.167927448795456,151,34,3,0.4222143326185002
146,0.0052345915146576345,0.9046182448311895,0.9701087282356219,0.1828023479137202,156,107,6,0.4000667334478309
